AREACD,AREANM,Method,mapvar,Retail (47),Health (Q),Professional (M),Education (P),Finance (K),Food and Drink (56),Admin and support (N),Public admin (O),Information and communication (J),Construction (F),Manufacturing (C) ,Transport (H),Arts (R),"Other Services (S,T,U)","Wholesale (45,46,48)",Accommodation (55),Real estate (L),"Agriculture, electricity, water, mining (A,B,D,E)"
E07000072,Epping Forest,Bus,11.2616075,0.722936618,0.722936618,0.12256684,0.282526954,0.043625486,0.292913975,0.388474562,0.076863951,0.04570289,0.170347134,0.11217982,0.105947608,0.093483183,0.120489436,0.093483183,0.027006253,0.022851445,0.039470677
E07000010,Fenland,Bus,2.033377594,0.281184097,0.182248952,0.03644979,0.091124476,0.015621339,0.096331589,0.288994767,0.028639121,0.007810669,0.059881799,0.247337864,0.052071129,0.013017782,0.041656903,0.078106694,0.015621339,0.005207113,0.07289958
E07000145,Great Yarmouth,Bus,4.990555721,1.322199026,0.872353117,0.096928124,0.251018988,0.10686947,0.37777115,0.198826921,0.119296153,0.024853365,0.054677403,0.196341585,0.169002883,0.191370912,0.154090864,0.086986778,0.298240382,0.042250721,0.039765385
E07000073,Harlow,Bus,8.188523565,1.372671584,0.925115639,0.165020628,0.310038755,0.080010001,0.370046256,0.442555319,0.162520315,0.095011876,0.13751719,0.285035629,0.195024378,0.097512189,0.082510314,0.190023753,0.040005001,0.03000375,0.025003127
E07000098,Hertsmere,Bus,11.48031093,1.082685573,0.879815495,0.251985991,0.32245665,0.224224823,0.478346289,0.456991544,0.059793286,0.147347741,0.17083796,0.19432818,0.205005552,0.149483215,0.234902195,0.335269497,0.136670368,0.064064235,0.04698044
E07000011,Huntingdonshire,Bus,2.785987818,0.391940168,0.218458454,0.059112288,0.074532884,0.014135547,0.14264052,0.268575394,0.107944177,0.04883189,0.05011694,0.133645172,0.039836542,0.023130895,0.060397337,0.057827238,0.028271094,0.006425249,0.034696343
E07000202,Ipswich,Bus,9.309117205,2.020637481,1.076375369,0.297602492,0.30177449,0.725927574,0.55626634,0.435278411,0.61328364,0.107081271,0.102909273,0.212771875,0.24475719,0.212771875,0.18773989,0.200255883,0.04032931,0.068142627,0.090393281
E07000146,King's Lynn and West Norfolk,Bus,2.982554868,0.765960108,0.38141687,0.048458701,0.14068655,0.053148252,0.200087538,0.106296505,0.104733321,0.021884575,0.070343275,0.075032827,0.042205965,0.060964172,0.071906459,0.029700494,0.054711436,0.014068655,0.034390046
E07000074,Maldon,Bus,3.480278422,0.270688322,0.214832001,0.06015296,0.05155968,0.04726304,0.158975681,0.146085761,0.07304288,0.00859328,0.07304288,0.158975681,0.03007648,0.0429664,0.06874624,0.085932801,0.00429664,0.01718656,0.03007648
E07000203,Mid Suffolk,Bus,2.50725534,0.223607213,0.190304011,0.021409201,0.059470003,0.011894001,0.088015605,0.092773205,0.038060802,0.011894001,0.054712403,0.554260431,0.068985204,0.023788001,0.026166801,0.040439602,0.011894001,0.0071364,0.057091203
