AREACD,AREANM,Method,mapvar,Retail (47),Health (Q),Professional (M),Education (P),Finance (K),Food and Drink (56),Admin and support (N),Public admin (O),Information and communication (J),Construction (F),Manufacturing (C) ,Transport (H),Arts (R),"Other Services (S,T,U)","Wholesale (45,46,48)",Accommodation (55),Real estate (L)
E30000186,Cambridge,0.822323339,0.099583025,1.034866105,0.137085576,0.864328405,0.997546756,0.849204083,0.672103006,0.872215394,1.285942007,0.384938113,0.831053768,1.714899655,1.005981737,0.479453981,1.425098757,0.866797291,1.065174873,0.964759666
E30000187,Canterbury,2.764438132,0.860446585,0.510984346,0.368606292,0.573020245,0.947874347,1.150490094,0.605056999,1.223258184,0.539560101,0.822203867,0.605867247,0.837760525,0.668855749,0.64562543,1.940676219,1.217154088,0.913880689,1.530070637
E30000188,Chelmsford,0.994720779,0.940975078,0.840487037,0.171187378,1.13825499,1.687145158,1.052424472,1.237852556,0.918792077,0.884050118,0.923390207,0.853526992,1.005274515,0.866034694,0.945772544,0.969467242,0.957760857,0.906543987,1.0750422
E30000189,Cheltenham,1.330674161,0.062387698,1.497965753,0.072114815,0.899481647,1.098519995,0.984985689,0.439830996,1.226597886,1.124450769,1.017886489,1.019661429,1.088499073,0.785166171,0.574939759,0.936803644,1.030075007,0.954314683,0.891244809
E30000190,Chesterfield,1.915932307,1.600346546,1.251325016,0.192690312,1.182684245,1.04926668,1.228978417,1.003735375,1.113637648,0.587848759,0.487105993,0.742517677,0.717376576,0.729965044,1.29491206,0.855214416,1.205474485,1.007376355,0.914402074
E30000191,Chichester and Bognor Regis,1.861642863,0.371014983,1.130408388,0.090346102,1.091924041,0.957938974,1.119139994,0.576069407,1.504527587,0.505759247,0.434718486,1.110324115,0.772023772,0.749871345,1.113248402,1.01713398,1.215727888,1.175322211,1.104739389
E30000192,Clacton,1.100836772,null,0.841410759,0.002745329,1.489391063,1.19627415,1.263876407,1.193871835,1.679484617,0.217109143,0.287366287,0.807596446,0.481783786,0.471325189,0.942374979,1.187399446,1.319796939,0.894607409,1.3398506
E30000193,Colchester,2.100459229,0.72282293,0.771525648,0.51327615,1.607599182,1.262931337,1.072995127,0.600530433,0.997790286,0.729294841,0.924851473,1.361421255,0.888585759,0.788087041,0.497220531,1.370820824,1.24728492,1.391375034,0.754734053
E30000194,Corby,0.995492243,null,2.548707549,0.064104767,1.359928727,0.692211978,1.504216484,2.805459745,0.596518174,0.246300667,0.13057882,0.429885763,0.401654501,0.959466445,0.500601082,0.92060922,0.429020783,0.738805273,0.826017262
E30000195,Coventry,0.355928806,1.56772635,1.329656334,2.238382224,1.940734691,0.68759166,0.959572418,1.65906574,0.852619977,0.58500488,0.677240303,0.681432205,0.876307998,1.109830533,0.855125908,1.317454659,0.889310406,0.758623326,0.950664655
E30000196,Crawley,1.406215086,0.747446014,0.776268872,1.374923631,1.056179482,1.153532961,0.979002346,1.766698252,0.917591966,0.98043368,1.422185452,0.741281887,1.007165848,1.106458095,0.482941993,0.937562515,0.908635606,0.772954895,1.207601327
E30000197,Crewe,4.228418894,3.92819013,1.432397235,0.892649204,1.080582678,0.832116928,1.189759092,1.594025721,0.807322339,0.712248732,1.647144008,0.575402023,0.844701482,0.927439102,0.748529787,0.762365792,0.840852938,0.853750746,0.829550589
E30000198,Cromer and Sheringham,6.228402252,3.51296975,0.368819495,null,0.470023967,1.315905805,1.164354331,0.493867821,2.886222662,0.291562499,0.237503993,1.000087307,0.523322677,0.443290044,0.773309741,1.271998771,1.008372303,1.832661172,1.110023076
E30000199,Darlington,1.46029293,null,0.769927261,0.038167493,0.761796925,0.657411319,0.928357521,1.186691306,0.904954647,0.559783959,1.579182573,0.527412728,0.976077624,1.027037462,1.324327221,0.816040865,1.508014301,0.909144135,0.942529935
E30000200,Derby,0.977998516,2.872338219,2.307694423,0.259623268,1.145838819,0.901964919,0.837364196,1.308263819,0.889669367,0.462848198,0.248065866,0.943277367,1.040412928,0.975210211,0.827457704,0.943715707,0.91820098,0.80866215,0.742547998
E30000201,Doncaster,0.484892126,1.147713649,1.111481601,0.138204016,0.785304765,1.432791002,1.109449432,1.838892852,0.73341258,0.395788669,0.583796018,0.625972378,0.539065766,0.793284933,1.211504104,0.984969841,1.355123964,0.841214176,0.834033847
E30000202,Dudley,0.192250588,null,2.010977715,1.509770231,0.869145275,1.214577855,1.293684222,1.247543007,0.714979683,0.350138646,0.348038162,1.167952319,0.46093273,0.636645203,0.677247389,0.924935397,1.194774761,0.750186242,1.155960733
E30000203,Durham and Bishop Auckland,1.895546352,2.846953596,1.729774489,1.936309237,0.427246564,1.268983896,0.951457822,0.825478361,0.905103969,0.239494148,0.232809469,0.793503403,0.51550247,0.459308832,2.449056341,1.441859356,1.072572588,0.926358843,0.946924979
E30000204,Eastbourne,1.864072009,null,0.769057209,0.301578021,0.926056947,1.106986432,1.228456377,0.425630543,1.280258464,0.532680364,0.358848967,0.77749283,0.818230418,0.471864931,1.429178352,1.100217469,1.469255813,1.178815648,1.392102455
E30000205,Evesham,2.52317772,4.548083844,1.544087998,0.228788706,2.417414548,1.211763586,1.251678566,1.341935051,1.708371492,0.457022362,0.231663963,1.124508096,0.841116532,0.546242502,0.766493921,0.833191828,0.5783579,1.164006899,1.01018094
E30000206,Exeter,2.168304193,2.875872457,0.805496602,1.393391026,1.498567077,1.366490291,1.163159213,0.911565346,1.160903071,0.691339284,0.454886675,1.144244968,0.840440952,0.728583428,1.210447837,1.078408964,1.07695709,1.010480051,0.933690565
E30000208,Folkestone and Dover,0.640205797,0.434145234,0.654715243,2.560073025,0.845415587,0.931579113,0.926239128,2.028245321,1.271912516,0.404744288,0.871920249,0.505195258,0.565142642,1.133925495,1.847774878,0.956565524,1.021268746,1.022538275,0.95498923
